Rank,Publisher
1034,Take-Two Interactive
1035,Sony Computer Entertainment
1036,Bethesda Softworks
1037,Activision
1038,Ubisoft
1039,Activision
1040,Electronic Arts
1041,Ubisoft
1042,Electronic Arts
1043,Warner Bros. Interactive Entertainment
1044,Activision
1045,Mindscape
1046,Sony Computer Entertainment Europe
1047,Electronic Arts
1048,Nintendo
1049,THQ
1050,Activision Value
1051,Ubisoft
1052,Electronic Arts
1053,Namco Bandai Games
1054,Nintendo
1055,Nintendo
1056,Banpresto
1057,D3Publisher
1058,Electronic Arts
1059,Sony Computer Entertainment
1060,Take-Two Interactive
1061,THQ
1062,Deep Silver
1063,Sony Computer Entertainment
1064,Electronic Arts
1065,Electronic Arts
1066,THQ
1067,THQ
1068,Electronic Arts
1069,Electronic Arts
1070,Infogrames
1071,Take-Two Interactive
1072,Capcom
1073,Activision
1074,LucasArts
1075,Oxygen Interactive
1076,Sony Computer Entertainment
1077,Warner Bros. Interactive Entertainment
1078,Nintendo
1079,Namco Bandai Games
1080,Electronic Arts
1081,LucasArts
1082,Electronic Arts
1083,Nintendo
1084,Ubisoft
1085,Electronic Arts
1086,THQ
1087,Electronic Arts
1088,Electronic Arts
1089,Sony Computer Entertainment Europe
1090,Activision
1091,Capcom
1092,Activision
1093,THQ
1094,Activision
1095,Microsoft Game Studios
1096,Midway Games
1097,Electronic Arts
1098,THQ
1099,Warner Bros. Interactive Entertainment
1100,Sony Computer Entertainment
1101,Sega
1102,Electronic Arts
1103,Take-Two Interactive
1104,Midway Games
1105,Electronic Arts
1106,Electronic Arts
1107,Atari
1108,Atari
1109,Nintendo
1110,Nintendo
1111,Namco Bandai Games
1112,Enix Corporation
1113,Electronic Arts
1114,Square Enix
1115,Nintendo
1116,Disney Interactive Studios
1117,Atari
1118,Red Storm Entertainment
1119,Capcom
1120,Electronic Arts
1121,Electronic Arts
1122,Ubisoft
1123,Microsoft Game Studios
1124,Sony Computer Entertainment Europe
1125,Sega
1126,Microsoft Game Studios
1127,Nintendo
1128,Activision
1129,Sega
1130,Electronic Arts
1131,Sony Computer Entertainment
1132,Take-Two Interactive
1133,Electronic Arts
1134,Square Enix
1135,Electronic Arts
1136,Activision
1137,Bethesda Softworks
1138,Nintendo
1139,Nintendo
1140,Electronic Arts
1141,Nintendo
1142,Electronic Arts
1143,Microsoft Game Studios
1144,Nintendo
1145,Konami Digital Entertainment
1146,Nintendo
1147,Sony Computer Entertainment
1148,THQ
1149,Ubisoft
1150,Konami Digital Entertainment
1151,Activision
1152,Take-Two Interactive
1153,Ubisoft
1154,Video System
1155,Activision
1156,Konami Digital Entertainment
1157,Square Enix
1158,Hello Games
1159,Sega
1160,Global Star
1161,Activision
1162,Nintendo
1163,Sony Computer Entertainment
1164,Capcom
1165,Atari
1166,Konami Digital Entertainment
1167,Ubisoft
1168,Warner Bros. Interactive Entertainment
1169,Electronic Arts
1170,Bethesda Softworks
1171,Take-Two Interactive
1172,Activision
1173,Electronic Arts
1174,Sony Computer Entertainment
1175,Electronic Arts
1176,Activision
1177,Disney Interactive Studios
1178,Square Enix
1179,Disney Interactive Studios
1180,Nintendo
1181,Vivendi Games
1182,Konami Digital Entertainment
1183,Electronic Arts
1184,Gotham Games
1185,Nintendo
1186,Konami Digital Entertainment
1187,Take-Two Interactive
1188,Electronic Arts
1189,Nintendo
1190,Sony Computer Entertainment
1191,Namco Bandai Games
1192,Capcom
1193,Enix Corporation
1194,Nintendo
1195,Warner Bros. Interactive Entertainment
1196,Take-Two Interactive
1197,Bethesda Softworks
1198,Atari
1199,Ubisoft
1200,Atari
1201,Take-Two Interactive
1202,Electronic Arts
1203,Activision
1204,Ubisoft
1205,LucasArts
1206,Namco Bandai Games
1207,Westwood Studios
1208,Warner Bros. Interactive Entertainment
1209,Nintendo
1210,Microsoft Game Studios
1211,Capcom
1212,Nintendo
1213,Sony Computer Entertainment
1214,Activision
1215,Ubisoft
1216,Disney Interactive Studios
1217,Electronic Arts
1218,Fox Interactive
1219,Activision
1220,Electronic Arts
1221,Electronic Arts
1222,Electronic Arts
1223,Acclaim Entertainment
1224,989 Studios
1225,Activision
1226,Electronic Arts
1227,Nintendo
1228,Electronic Arts
1229,Nintendo
1230,Electronic Arts
1231,Sega
1232,Electronic Arts
1233,Electronic Arts
1234,Electronic Arts
1235,Nintendo
1236,Namco Bandai Games
1237,Electronic Arts
1238,Electronic Arts
1239,Take-Two Interactive
1240,Activision
1241,Atari
1242,Namco Bandai Games
1243,Electronic Arts
1244,Sega
1245,LucasArts
1246,Sega
1247,GungHo
1248,Capcom
1249,Electronic Arts
1250,Electronic Arts
1251,Electronic Arts
1252,Hasbro Interactive
1253,Namco Bandai Games
1254,Sony Computer Entertainment
1255,Crave Entertainment
1256,Square Enix
1257,Midway Games
1258,THQ
1259,Warner Bros. Interactive Entertainment
1260,Electronic Arts
1261,THQ
1262,Nintendo
1263,Sega
1264,Hudson Soft
1265,Capcom
1266,MTV Games
1267,Namco Bandai Games
1268,Disney Interactive Studios
1269,Nintendo
1270,Electronic Arts
1271,Electronic Arts
1272,THQ
1273,Nintendo
1274,Sony Computer Entertainment
1275,Activision
1276,Electronic Arts
1277,Nintendo
1278,THQ
1279,Square Enix
1280,Nintendo
1281,THQ
1282,Nintendo
1283,Electronic Arts
1284,Take-Two Interactive
1285,Electronic Arts
1286,Ubisoft
1287,Ubisoft
1288,Ubisoft
1289,Ubisoft
1290,Nintendo
1291,THQ
1292,Electronic Arts
1293,Konami Digital Entertainment
1294,Square Enix
1295,LucasArts
1296,Sega
1297,Disney Interactive Studios
1298,Sony Computer Entertainment
1299,SquareSoft
1300,THQ
1301,Ubisoft
1302,Electronic Arts
1303,Midway Games
1304,THQ
1305,
1306,THQ
1307,Atari
1308,Coleco
1309,GT Interactive
1310,Nintendo
1311,Electronic Arts
1312,Warner Bros. Interactive Entertainment
1313,Electronic Arts
1314,THQ
1315,Sega
1316,Nintendo
1317,Capcom
1318,Activision
1319,Warner Bros. Interactive Entertainment
1320,Take-Two Interactive
1321,Take-Two Interactive
1322,Ubisoft
1323,Capcom
1324,Electronic Arts
1325,Namco Bandai Games
1326,Nintendo
1327,Namco Bandai Games
1328,Namco Bandai Games
1329,Namco Bandai Games
1330,Electronic Arts
1331,Square Enix
1332,Activision
1333,Ubisoft
1334,Rising Star Games
1335,Sony Computer Entertainment
1336,Sega
1337,Electronic Arts
1338,Nintendo
1339,Ubisoft
1340,THQ
1341,Microsoft Game Studios
1342,Ubisoft
1343,Electronic Arts
1344,Electronic Arts
1345,Electronic Arts
1346,Electronic Arts
1347,Hasbro Interactive
1348,Disney Interactive Studios
1349,Activision
1350,Sega
1351,Electronic Arts
1352,Capcom
1353,Nintendo
1354,Electronic Arts
1355,Square Enix
1356,Activision
1357,THQ
1358,Electronic Arts
1359,Nintendo
1360,Electronic Arts
1361,Sega
1362,Nintendo
1363,Namco Bandai Games
1364,Electronic Arts
1365,Capcom
1366,Nintendo
1367,Square Enix
1368,LucasArts
1369,Disney Interactive Studios
1370,Electronic Arts
1371,Eidos Interactive
1372,Warner Bros. Interactive Entertainment
1373,Electronic Arts
1374,Virgin Interactive
1375,Sony Computer Entertainment
1376,Nintendo
1377,Electronic Arts
1378,Sony Computer Entertainment
1379,Sony Computer Entertainment
1380,Electronic Arts
1381,Activision
1382,Activision
1383,Electronic Arts
1384,Sony Computer Entertainment
1385,Ubisoft
1386,THQ
1387,SquareSoft
1388,Electronic Arts
1389,Codemasters
1390,Electronic Arts
1391,Bethesda Softworks
1392,Square Enix
1393,Activision
1394,Square Enix
1395,Acclaim Entertainment
1396,Konami Digital Entertainment
1397,Tecmo Koei
1398,Disney Interactive Studios
1399,THQ
1400,Square Enix
1401,Activision
1402,Electronic Arts
1403,Nintendo
1404,Nintendo
1405,Electronic Arts
1406,Take-Two Interactive
1407,Atlus
1408,Capcom
1409,Electronic Arts
1410,Disney Interactive Studios
1411,505 Games
1412,Acclaim Entertainment
